\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s38/raw/KELT_S38_lc_083844_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Dec 21, 01:39:55 2013"               
\STOP_DATE = "Tue Dec 29, 01:51:13 2015"               
\fixlen = T
\NUMRECORDS = 989      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Fri Nov 01, 18:20:39 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456727.430466 14.65344 0.05120 
 2456727.445338 14.59210 0.03328 
 2456727.462609 14.56517 0.03383 
 2456727.482133 14.51477 0.03166 
 2456727.502321 14.53115 0.02899 
 2456729.341563 14.55177 0.04875 
 2456729.353927 14.64556 0.04557 
 2456729.366331 14.58485 0.05323 
 2456730.372224 14.56211 0.04829 
 2456730.409550 14.56078 0.04741 
 2456730.421970 14.59841 0.04448 
 2456730.449084 14.54234 0.05187 
 2456730.463837 14.51939 0.04548 
 2456731.341290 14.57072 0.05725 
 2456731.363531 14.48910 0.05418 
 2456731.373672 14.55217 0.05398 
 2456731.383892 14.53974 0.05249 
 2456731.394016 14.56434 0.05196 
 2456731.404122 14.48878 0.05261 
 2456731.414249 14.62366 0.04899 
 2456731.424401 14.60190 0.05042 
 2456731.434587 14.54586 0.05008 
 2456731.447092 14.46652 0.04961 
 2456731.459506 14.53785 0.05001 
 2456731.474264 14.51292 0.04796 
 2456731.486747 14.43544 0.04918 
 2456732.339955 14.56153 0.06284 
 2456732.357145 14.54912 0.06360 
 2456732.374204 14.55981 0.06008 
 2456732.388810 14.54503 0.05920 
 2456732.401307 14.52264 0.05778 
 2456732.413760 14.55249 0.05953 
 2456732.426242 14.51801 0.05780 
 2456732.438753 14.51759 0.05690 
 2456732.452083 14.50485 0.05574 
 2456732.467708 14.58506 0.05670 
 2456732.480351 14.54998 0.05681 
 2456732.492889 14.30842 0.05580 
 2456733.341203 14.70178 0.07458 
 2456733.358250 14.57946 0.07471 
 2456733.375397 14.64601 0.07135 
 2456733.385587 14.61074 0.07088 
 2456733.395836 14.60769 0.07192 
 2456733.403634 14.61423 0.06957 
 2456733.413901 14.58610 0.06964 
 2456733.424191 14.68340 0.06710 
 2456733.434390 14.60528 0.06933 
 2456733.444516 14.62193 0.06687 
 2456733.454771 14.63278 0.06554 
 2456733.467098 14.59279 0.06878 
 2456733.477365 14.65343 0.06321 
 2456733.487530 14.37985 0.06807 
 2456738.384601 14.59066 0.03822 
 2456738.405452 14.48996 0.03788 
 2456738.421278 14.54253 0.04033 
 2456738.436197 14.50954 0.03988 
 2456738.464703 14.57944 0.04043 
 2456738.477680 13.92344 0.04146 
 2456739.314702 14.65142 0.03154 
 2456739.353786 14.60854 0.03108 
 2456739.373501 14.60298 0.03225 
 2456739.388366 14.61649 0.03416 
 2456739.408936 14.64595 0.03565 
 2456739.423973 14.67555 0.03514 
 2456739.438981 14.66747 0.03538 
 2456739.454006 14.69509 0.03509 
 2456739.466846 14.66290 0.03581 
 2456744.325034 14.56425 0.03129 
 2456744.349581 14.54679 0.03024 
 2456744.368992 14.58039 0.03042 
 2456744.390786 14.54843 0.02948 
 2456744.408062 14.55887 0.02910 
