\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1834     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:41:31 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454057.889142 15.37505 0.02082 
 2454058.762271 15.74599 0.02026 
 2454058.766789 15.72241 0.01982 
 2454058.771313 15.71520 0.01988 
 2454058.775838 15.75797 0.01873 
 2454058.780360 15.74691 0.01889 
 2454058.784877 15.75745 0.01840 
 2454058.789399 15.77888 0.01900 
 2454058.793916 15.78399 0.01905 
 2454058.798437 15.84375 0.01825 
 2454058.802955 15.81298 0.01822 
 2454058.807478 15.82969 0.01804 
 2454058.811996 15.84903 0.01823 
 2454058.817359 15.84658 0.01852 
 2454058.822726 15.83084 0.01814 
 2454058.828095 15.86057 0.01766 
 2454058.833465 15.87434 0.01820 
 2454058.838829 15.87754 0.01789 
 2454058.844196 15.96759 0.01823 
 2454058.846300 15.95957 0.01848 
 2454058.850822 15.93674 0.01782 
 2454058.855340 15.94927 0.01810 
 2454058.859865 15.98789 0.01797 
 2454058.864386 16.00086 0.01799 
 2454058.868904 15.97803 0.01831 
 2454058.873429 16.00837 0.01802 
 2454058.877952 16.05630 0.01795 
 2454058.882469 16.04334 0.01812 
 2454058.886994 15.99844 0.01817 
 2454059.758771 15.36242 0.01949 
 2454059.763293 15.35209 0.01968 
 2454059.767818 15.35926 0.01932 
 2454059.772337 15.39223 0.02002 
 2454059.776860 15.36968 0.02027 
 2454059.781376 15.34945 0.01970 
 2454059.785898 15.37798 0.02021 
 2454059.790414 15.37592 0.01907 
 2454059.794938 15.37637 0.01916 
 2454059.799462 15.36251 0.01899 
 2454059.803987 15.36626 0.01982 
 2454059.808505 15.37102 0.01950 
 2454059.813875 15.35984 0.01938 
 2454059.819245 15.37216 0.01932 
 2454059.824606 15.36477 0.01981 
 2454059.829975 15.35605 0.01948 
 2454059.835345 15.33241 0.01927 
 2454059.840716 15.36684 0.01898 
 2454059.842820 15.35421 0.01891 
 2454059.847342 15.35680 0.01999 
 2454059.851868 15.34406 0.01965 
 2454059.856393 15.34956 0.01965 
 2454059.860918 15.35855 0.02019 
 2454059.865444 15.37131 0.01980 
 2454059.869970 15.34836 0.01994 
 2454059.874495 15.36663 0.01974 
 2454059.879021 15.33567 0.01975 
 2454059.883547 15.33650 0.02057 
 2454060.757309 15.37363 0.01909 
 2454060.761835 15.37114 0.01910 
 2454060.766352 15.34763 0.01872 
 2454060.770877 15.37125 0.01873 
 2454060.775403 15.35533 0.01874 
 2454060.779924 15.38547 0.01880 
 2454060.784444 15.35355 0.01884 
 2454060.788968 15.36742 0.01870 
 2454060.793493 15.35086 0.01850 
 2454060.798019 15.33593 0.01858 
 2454060.802543 15.34352 0.01862 
 2454060.807906 15.35436 0.01840 
 2454060.813275 15.36118 0.01791 
 2454060.818645 15.34519 0.01777 
 2454060.824015 15.33370 0.01862 
 2454060.829386 15.35438 0.01836 
 2454060.834756 15.34699 0.01809 
 2454060.840126 15.35667 0.01800 
 2454060.842231 15.35637 0.01822 
 2454060.846748 15.32604 0.01808 
 2454060.851272 15.34088 0.01845 
 2454060.855794 15.34657 0.01845 
 2454060.860319 15.35619 0.01827 
 2454060.864844 15.34498 0.01813 
 2454060.869363 15.34481 0.01823 
 2454060.873887 15.33327 0.01836 
 2454060.878412 15.34413 0.01877 
 2454060.882936 15.34863 0.01875 
 2454061.750645 15.66734 0.01726 
 2454061.755168 15.61418 0.01762 
 2454061.759685 15.59503 0.01726 
 2454061.764210 15.58576 0.01748 
 2454061.768735 15.54593 0.01755 
 2454061.773261 15.51124 0.01748 
 2454061.777786 15.50244 0.01780 
 2454061.782312 15.47410 0.01796 
 2454061.786838 15.45517 0.01785 
 2454061.791363 15.42029 0.01789 
 2454061.795888 15.37836 0.01826 
 2454061.800414 15.39196 0.01768 
 2454061.805785 15.37930 0.01782 
 2454061.811148 15.35012 0.01756 
 2454061.816516 15.36941 0.01726 
 2454061.821885 15.36782 0.01759 
 2454061.827255 15.36178 0.01770 
 2454061.832626 15.38749 0.01757 
 2454061.834730 15.34484 0.01798 
 2454061.839253 15.34269 0.01780 
 2454061.843770 15.33924 0.01832 
 2454061.848292 15.36256 0.01785 
 2454061.852810 15.36992 0.01796 
 2454061.857335 15.36963 0.01830 
 2454061.861861 15.36263 0.01840 
 2454061.866386 15.34947 0.01882 
 2454061.870908 15.35165 0.01859 
 2454061.875426 15.34609 0.01917 
 2454061.879951 15.35331 0.01927 
 2454066.761787 15.36578 0.01973 
 2454066.770830 15.37330 0.01912 
 2454066.775356 15.31658 0.01917 
 2454066.779881 15.36071 0.01938 
 2454066.784407 15.33986 0.01986 
 2454066.788932 15.33657 0.01979 
 2454066.794302 15.35486 0.01936 
 2454066.799674 15.35222 0.01958 
 2454066.805043 15.35436 0.01895 
 2454066.810413 15.32861 0.01894 
 2454066.815784 15.33271 0.01949 
 2454066.817888 15.34751 0.01944 
 2454066.822412 15.33376 0.01828 
 2454079.800277 15.35973 0.02782 
 2454080.713524 16.06131 0.01909 
 2454080.718039 16.06218 0.01868 
 2454080.722561 16.12948 0.01838 
 2454080.727078 16.12324 0.01880 
 2454080.731600 16.09793 0.01876 
 2454080.736118 16.06483 0.01800 
 2454080.740641 16.16391 0.01899 
 2454080.745158 16.08704 0.01911 
 2454080.749682 16.06080 0.01923 
 2454080.755053 16.06386 0.01962 
 2454080.760415 16.03040 0.02052 
 2454080.765782 15.98045 0.02078 
 2454080.771151 16.00011 0.02133 
 2454080.776512 16.01102 0.02235 
 2454080.781874 15.96303 0.02226 
 2454080.783983 15.94234 0.02180 
 2454080.788508 15.93577 0.02215 
 2454080.793026 15.91702 0.02200 
 2454080.797550 15.90035 0.02234 
 2454080.802064 15.89684 0.02353 
 2454080.806579 15.89012 0.02274 
 2454080.811094 15.86940 0.02248 
 2454080.815607 15.84137 0.02298 
 2454080.820127 15.84319 0.02270 
 2454080.824645 15.83383 0.02398 
 2454080.829161 15.78609 0.02371 
 2454081.696498 15.37294 0.02319 
 2454081.701012 15.35695 0.02291 
 2454081.705527 15.32810 0.02258 
 2454081.710050 15.36641 0.02254 
 2454081.714565 15.32677 0.02161 
 2454081.719079 15.34174 0.02213 
 2454081.723598 15.34401 0.02189 
 2454081.728118 15.31900 0.02165 
 2454081.732634 15.33972 0.02208 
 2454081.737156 15.33474 0.02216 
 2454081.744483 15.31476 0.02241 
 2454081.748998 15.35349 0.02246 
 2454081.754361 15.36055 0.02098 
 2454081.759729 15.35728 0.02087 
 2454081.765091 15.32710 0.02068 
 2454081.770459 15.33900 0.02074 
 2454081.775829 15.32199 0.02023 
 2454081.781189 15.36218 0.02054 
 2454081.783298 15.34088 0.02071 
 2454081.787817 15.36591 0.02058 
 2454081.792338 15.32824 0.02107 
 2454081.796856 15.33230 0.02083 
 2454081.801370 15.34970 0.02160 
 2454081.805886 15.34748 0.02191 
 2454081.810408 15.32858 0.02178 
 2454081.814930 15.35358 0.02224 
 2454081.819448 15.31038 0.02343 
 2454081.823962 15.36288 0.02221 
 2454082.764170 15.32748 0.02127 
 2454082.769531 15.33786 0.02069 
 2454082.774892 15.37227 0.02119 
 2454082.777001 15.34166 0.02045 
 2454082.781519 15.36427 0.02101 
 2454082.786035 15.33398 0.02083 
 2454082.790551 15.34075 0.02088 
 2454082.795072 15.34357 0.02124 
 2454082.799586 15.36503 0.02123 
 2454082.804100 15.36762 0.02131 
 2454082.808614 15.35129 0.02179 
 2454082.813128 15.32960 0.02167 
 2454082.817642 15.34011 0.02160 
