\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_025329_V01_west_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Mar 29, 03:20:20 2010"               
\STOP_DATE = "Sat Sep 13, 18:14:15 2014"               
\fixlen = T
\NUMRECORDS = 1689     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:16 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455412.303503 14.12167 0.01647 
 2455412.319431 14.13021 0.01625 
 2455412.335508 14.10156 0.01691 
 2455412.349290 14.12193 0.01621 
 2455412.360849 14.14065 0.01719 
 2455412.374678 14.12961 0.01743 
 2455413.292016 14.09652 0.02081 
 2455413.305856 14.14289 0.01997 
 2455413.321864 14.08254 0.02023 
 2455413.335642 14.12461 0.02046 
 2455413.349599 14.11400 0.02143 
 2455413.361231 14.10985 0.02128 
 2455413.377101 14.08143 0.01979 
 2455415.288948 14.07516 0.02046 
 2455415.302752 14.11985 0.02009 
 2455415.318689 14.06501 0.02109 
 2455415.332404 14.08500 0.01969 
 2455415.343889 14.09926 0.01955 
 2455415.357615 14.08706 0.01919 
 2455415.373398 14.06000 0.02003 
 2455416.268050 14.05841 0.02035 
 2455416.289085 14.07850 0.01962 
 2455416.304961 14.12003 0.01843 
 2455416.320895 14.08158 0.01896 
 2455416.334613 14.08669 0.01850 
 2455416.346106 14.08866 0.01786 
 2455416.359823 14.10957 0.01792 
 2455416.373545 14.10258 0.01933 
 2455418.281496 14.13045 0.01698 
 2455418.295389 14.09698 0.01724 
 2455418.311407 14.09595 0.01636 
 2455418.325274 14.17140 0.01711 
 2455418.336917 14.09991 0.01779 
 2455418.350783 14.14079 0.01736 
 2455419.278984 14.12102 0.01611 
 2455419.292847 14.09210 0.01612 
 2455419.308852 14.10662 0.01673 
 2455419.322681 14.10964 0.01600 
 2455419.334342 14.09209 0.01572 
 2455419.348195 14.10918 0.01609 
 2455419.364161 14.12713 0.01610 
 2455421.264166 14.08101 0.01866 
 2455421.275809 14.11424 0.01759 
 2455421.287452 14.10593 0.01654 
 2455421.301229 14.08261 0.01628 
 2455421.315004 14.07241 0.01755 
 2455421.326563 14.10576 0.02839 
 2455421.340418 14.09303 0.05528 
 2455422.259975 14.21033 0.01855 
 2455422.267472 14.26349 0.01802 
 2455422.274958 14.26195 0.01716 
 2455422.282453 14.24035 0.01817 
 2455422.294178 14.21490 0.01786 
 2455422.305908 14.24972 0.01683 
 2455422.317659 14.29172 0.01787 
 2455422.327190 14.23701 0.01909 
 2455422.338915 14.23066 0.01812 
 2455422.352711 14.21868 0.01771 
 2455423.248423 14.08111 0.02071 
 2455423.260478 14.08394 0.02475 
 2455423.267963 14.12162 0.02174 
 2455423.275465 14.11407 0.02137 
 2455423.285031 14.13904 0.02185 
