\INPUT_FILE = /exodata/ETSS-prep/KELT/s12/raw/KELT_S12_lc_028632_V01_east_raw.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sat Mar 13, 02:12:55 2010"               
\STOP_DATE = "Tue Aug 19, 17:31:42 2014"               
\fixlen = T
\NUMRECORDS = 1954     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Jan 08, 16:08:15 2020
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455353.377893 14.26107 0.02200 
 2455353.389521 14.28856 0.02007 
 2455353.403398 14.24184 0.02067 
 2455353.419319 14.29141 0.02136 
 2455353.433050 14.26524 0.02105 
 2455359.332126 14.28580 0.02136 
 2455359.346036 14.37487 0.02002 
 2455359.359952 14.38969 0.02102 
 2455359.371667 14.39276 0.02079 
 2455359.385587 14.38484 0.01940 
 2455359.399505 14.40626 0.02128 
 2455359.413437 14.36842 0.02094 
 2455365.320064 14.22358 0.02932 
 2455365.331821 14.21517 0.02750 
 2455365.343600 14.20738 0.02655 
 2455365.353136 14.29110 0.02486 
 2455365.364834 14.26811 0.02468 
 2455365.376502 14.27131 0.02349 
 2455365.390254 14.27164 0.01950 
 2455365.404086 14.27413 0.02151 
 2455368.308164 14.22467 0.03903 
 2455368.310325 14.27744 0.03875 
 2455368.312481 14.30701 0.03648 
 2455368.314642 14.20926 0.03845 
 2455368.316807 14.23102 0.03625 
 2455368.318975 14.26385 0.03612 
 2455368.321132 14.22354 0.03654 
 2455368.323329 14.27449 0.03612 
 2455368.325496 14.23576 0.03632 
 2455368.327661 14.30207 0.03510 
 2455368.329829 14.31941 0.03630 
 2455368.331991 14.27404 0.03481 
 2455368.334155 14.23869 0.03332 
 2455368.336311 14.30357 0.03386 
 2455368.338471 14.19862 0.03432 
 2455368.340645 14.27023 0.03480 
 2455368.342812 14.24800 0.03556 
 2455368.344977 14.24493 0.03521 
 2455368.347133 14.28281 0.03419 
 2455368.349294 14.29848 0.03364 
 2455368.351473 14.22646 0.03318 
 2455368.353631 14.24826 0.03409 
 2455368.355797 14.21156 0.03318 
 2455368.357963 14.31166 0.03272 
 2455368.360129 14.27887 0.03255 
 2455368.362292 14.20771 0.03301 
 2455368.366853 14.25502 0.03392 
 2455368.371421 14.26338 0.03182 
 2455368.378110 14.22928 0.03233 
 2455368.384815 14.25188 0.03308 
 2455368.391503 14.24128 0.03216 
 2455378.287516 14.20675 0.02533 
 2455378.301395 14.23545 0.02351 
 2455378.313051 14.30790 0.02374 
 2455378.326932 14.27662 0.02695 
 2455378.340810 14.37682 0.03132 
 2455378.354523 14.39574 0.03004 
 2455378.368279 14.46185 0.03145 
 2455379.278869 14.15868 0.02489 
 2455379.292744 14.19324 0.02450 
 2455379.306625 14.27134 0.02333 
 2455379.318283 14.27337 0.02300 
 2455379.332147 14.24438 0.02272 
 2455379.348087 14.24737 0.02469 
 2455379.361869 14.24534 0.02580 
 2455380.283305 14.19834 0.02528 
 2455380.297192 14.21925 0.02554 
 2455380.308848 14.26288 0.02490 
 2455380.322729 14.29168 0.02530 
 2455380.336604 14.29644 0.02429 
 2455380.350385 14.29484 0.02213 
 2455380.364156 14.30168 0.02297 
 2455385.268782 14.35139 0.04442 
 2455385.282662 14.19232 0.02554 
 2455385.294328 14.25960 0.01688 
 2455385.308204 14.22211 0.02244 
 2455385.322083 14.25131 0.01866 
 2455385.335808 14.26909 0.01990 
 2455385.349583 14.25248 0.02110 
 2455391.248120 14.17052 0.02436 
 2455391.262007 14.22313 0.02377 
 2455391.275892 14.29999 0.02319 
 2455391.287557 14.29693 0.02381 
 2455391.301425 14.24967 0.02340 
 2455391.317362 14.26171 0.02439 
 2455391.331125 14.23131 0.02355 
 2455394.236039 14.20965 0.02704 
 2455394.242611 14.22340 0.02735 
 2455394.249202 14.22951 0.02627 
 2455394.255752 14.21042 0.02707 
 2455394.262372 14.22103 0.02681 
 2455394.267728 14.25804 0.02400 
 2455394.275231 14.24870 0.02640 
 2455394.282719 14.25931 0.02560 
 2455394.290217 14.25729 0.02342 
 2455394.297695 14.26818 0.02532 
 2455394.309361 14.32333 0.02337 
 2455394.321034 14.25336 0.02309 
 2455395.231926 14.25414 0.03024 
 2455395.234111 14.26794 0.03082 
 2455395.236294 14.24516 0.03079 
 2455395.238467 14.27872 0.02938 
 2455395.240653 14.23794 0.02992 
 2455395.242830 14.30055 0.02917 
 2455395.245004 14.28741 0.02952 
 2455395.247182 14.33217 0.02724 
 2455395.249355 14.34849 0.02798 
 2455395.251531 14.24871 0.02804 
 2455395.253710 14.24718 0.02705 
 2455395.255890 14.23749 0.02611 
 2455395.258060 14.28696 0.02771 
 2455395.260239 14.22283 0.02682 
 2455395.262420 14.26318 0.02813 
 2455395.264602 14.24701 0.02735 
 2455395.266773 14.29285 0.02746 
 2455395.268951 14.24935 0.02753 
 2455395.271135 14.27341 0.02673 
 2455395.273317 14.30332 0.02549 
 2455395.275492 14.28086 0.02457 
 2455395.277663 14.26345 0.02697 
 2455395.279841 14.25607 0.02683 
