\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_030753_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Sun Jan 03, 20:25:35 2010"               
\STOP_DATE = "Sun Apr 06, 17:48:45 2014"               
\fixlen = T
\NUMRECORDS = 2692     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 13:06:47 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455204.483271 13.47669 0.01263 
 2455204.485331 13.49665 0.01276 
 2455205.451278 13.51161 0.01257 
 2455205.453337 13.49194 0.01210 
 2455205.455400 13.50883 0.01262 
 2455205.457463 13.52065 0.01279 
 2455205.459522 13.49780 0.01250 
 2455205.469750 13.51029 0.01322 
 2455205.471818 13.49076 0.01240 
 2455205.473875 13.52485 0.01397 
 2455205.475936 13.47958 0.01238 
 2455206.330782 13.53636 0.01456 
 2455206.332844 13.51610 0.01393 
 2455206.334898 13.52119 0.01462 
 2455206.336963 13.48624 0.01357 
 2455206.339025 13.50891 0.01348 
 2455206.341083 13.51343 0.01376 
 2455206.343144 13.50777 0.01372 
 2455206.363862 13.49430 0.01244 
 2455206.365922 13.50272 0.01295 
 2455206.370045 13.49560 0.01235 
 2455206.372103 13.51695 0.01250 
 2455206.376224 13.51627 0.01264 
 2455206.378283 13.52176 0.01302 
 2455206.380341 13.52384 0.01323 
 2455206.382406 13.51577 0.01279 
 2455206.386522 13.51246 0.01296 
 2455206.388584 13.50569 0.01239 
 2455206.390642 13.54056 0.01289 
 2455206.392705 13.51180 0.01251 
 2455206.394767 13.50279 0.01207 
 2455206.396824 13.52826 0.01176 
 2455206.398888 13.49717 0.01194 
 2455206.400945 13.50109 0.01190 
 2455206.403007 13.49195 0.01154 
 2455206.405066 13.51875 0.01233 
 2455206.407122 13.50449 0.01200 
 2455206.409184 13.49108 0.01196 
 2455206.411241 13.51105 0.01182 
 2455206.413304 13.50306 0.01166 
 2455206.415362 13.52218 0.01215 
 2455206.417419 13.52061 0.01160 
 2455206.419481 13.50712 0.01222 
 2455206.421540 13.50032 0.01180 
 2455206.423601 13.47321 0.01149 
 2455206.425662 13.49286 0.01176 
 2455206.427723 13.49342 0.01141 
 2455206.429782 13.52888 0.01174 
 2455206.431839 13.50455 0.01138 
 2455206.433902 13.50510 0.01154 
 2455206.435960 13.50666 0.01135 
 2455206.438017 13.50789 0.01153 
 2455206.440082 13.49114 0.01120 
 2455206.442139 13.51936 0.01159 
 2455212.311402 13.51976 0.01320 
 2455212.317590 13.47922 0.01275 
 2455212.319652 13.52476 0.01326 
 2455212.321715 13.51753 0.01275 
 2455212.323772 13.51286 0.01277 
 2455212.325838 13.50613 0.01231 
 2455212.327897 13.49786 0.01232 
 2455212.329954 13.51969 0.01238 
 2455212.332012 13.51418 0.01269 
 2455212.334070 13.51005 0.01187 
 2455212.336133 13.48253 0.01158 
 2455212.338193 13.50005 0.01159 
 2455212.340256 13.51799 0.01199 
 2455212.342314 13.51890 0.01221 
 2455212.344372 13.51796 0.01204 
 2455212.346434 13.51826 0.01186 
 2455212.348493 13.50941 0.01181 
 2455212.350555 13.50159 0.01174 
 2455212.352614 13.53043 0.01197 
 2455212.354674 13.51495 0.01187 
 2455212.356735 13.46919 0.01112 
 2455212.358794 13.49537 0.01140 
 2455212.360856 13.54628 0.01204 
 2455212.362917 13.51389 0.01188 
 2455212.364975 13.50249 0.01147 
 2455212.367035 13.53478 0.01145 
 2455212.369094 13.52179 0.01146 
 2455212.371155 13.50704 0.01148 
 2455212.373213 13.54131 0.01218 
 2455212.375277 13.52717 0.01209 
 2455212.377335 13.52096 0.01197 
 2455212.379393 13.53158 0.01218 
 2455212.381454 13.48076 0.01133 
 2455212.383513 13.50544 0.01158 
 2455212.385573 13.52159 0.01201 
 2455212.387635 13.50014 0.01127 
 2455212.389693 13.52067 0.01199 
 2455212.391756 13.48901 0.01130 
 2455212.393814 13.52652 0.01160 
 2455212.395877 13.49682 0.01143 
 2455212.397940 13.51653 0.01140 
 2455212.399997 13.52513 0.01166 
 2455212.402058 13.50178 0.01122 
 2455212.404117 13.52843 0.01157 
 2455212.406178 13.49840 0.01129 
 2455212.408236 13.51064 0.01126 
 2455212.410298 13.49433 0.01143 
 2455212.412361 13.51224 0.01151 
 2455212.414419 13.49705 0.01159 
 2455212.416480 13.49850 0.01143 
 2455212.418539 13.50345 0.01169 
 2455212.420608 13.51371 0.01131 
 2455212.422667 13.50440 0.01114 
 2455212.424724 13.51081 0.01153 
 2455212.430902 13.50479 0.01103 
 2455212.432964 13.49075 0.01081 
 2455212.435023 13.49722 0.01100 
 2455212.437083 13.51264 0.01198 
 2455212.439141 13.50716 0.01158 
 2455212.441202 13.50003 0.01098 
 2455212.443260 13.51041 0.01137 
 2455212.445319 13.49523 0.01122 
 2455212.447378 13.52056 0.01130 
 2455212.449438 13.50907 0.01106 
 2455212.451501 13.51512 0.01158 
 2455212.453560 13.51872 0.01142 
 2455212.455625 13.50554 0.01088 
 2455212.457686 13.49001 0.01080 
 2455212.459745 13.50116 0.01104 
 2455212.461806 13.51907 0.01122 
 2455212.463864 13.51668 0.01111 
 2455213.308065 13.49642 0.01373 
 2455213.310126 13.48570 0.01286 
 2455213.314253 13.47404 0.01338 
 2455213.318376 13.50639 0.01354 
 2455213.320435 13.51490 0.01377 
 2455213.322498 13.52901 0.01337 
 2455213.324556 13.50943 0.01304 
 2455213.326621 13.51248 0.01371 
 2455213.328683 13.46497 0.01295 
 2455213.330742 13.53394 0.01401 
 2455213.332805 13.49454 0.01260 
 2455213.334864 13.50518 0.01305 
 2455213.338991 13.50753 0.01325 
 2455213.341051 13.52086 0.01329 
 2455213.343113 13.49733 0.01258 
 2455213.345177 13.51435 0.01287 
 2455213.347240 13.52311 0.01364 
 2455213.349302 13.52230 0.01361 
 2455213.351364 13.49661 0.01264 
 2455213.353426 13.52477 0.01299 
 2455213.355484 13.47651 0.01207 
 2455213.357547 13.50684 0.01266 
 2455213.359606 13.52761 0.01286 
 2455213.361665 13.48544 0.01260 
 2455213.363729 13.51016 0.01284 
 2455213.365789 13.52961 0.01313 
 2455213.367851 13.52428 0.01269 
 2455213.369910 13.48898 0.01229 
 2455213.371994 13.49015 0.01212 
 2455213.374058 13.50443 0.01194 
 2455213.376118 13.49454 0.01183 
 2455213.378178 13.51196 0.01195 
 2455213.380247 13.49860 0.01186 
 2455213.382310 13.52677 0.01294 
 2455213.384373 13.51294 0.01317 
 2455213.386432 13.50826 0.01290 
 2455213.388498 13.52757 0.01321 
 2455213.390557 13.49427 0.01187 
 2455213.392618 13.48245 0.01153 
 2455213.394676 13.48122 0.01195 
 2455213.396733 13.50565 0.01238 
 2455213.398794 13.50284 0.01173 
 2455213.400853 13.49152 0.01187 
 2455213.402920 13.48225 0.01171 
 2455213.404979 13.48801 0.01173 
 2455213.407037 13.49664 0.01205 
 2455213.409099 13.52858 0.01260 
 2455213.411158 13.51412 0.01215 
 2455213.413222 13.49414 0.01202 
 2455213.415285 13.50951 0.01206 
 2455213.417345 13.50529 0.01184 
 2455213.419407 13.49739 0.01185 
 2455213.421466 13.49120 0.01186 
 2455213.423531 13.51959 0.01233 
 2455213.425590 13.51162 0.01206 
 2455213.427649 13.49005 0.01165 
 2455213.429709 13.50161 0.01180 
 2455213.431767 13.50708 0.01257 
 2455213.433824 13.49693 0.01236 
 2455213.435883 13.50508 0.01209 
 2455213.437940 13.47912 0.01174 
 2455213.440002 13.50509 0.01202 
 2455213.442061 13.50450 0.01215 
 2455213.444133 13.48614 0.01170 
 2455213.446192 13.52930 0.01235 
 2455213.448252 13.48723 0.01208 
 2455213.450314 13.52378 0.01242 
 2455213.452372 13.47983 0.01198 
 2455213.454434 13.50510 0.01217 
 2455213.456493 13.50514 0.01224 
 2455213.458555 13.50054 0.01231 
 2455213.460614 13.48755 0.01209 
 2455214.309986 13.51354 0.01308 
 2455214.312045 13.53158 0.01323 
 2455214.314105 13.50659 0.01332 
 2455214.316168 13.49871 0.01226 
 2455214.318230 13.48468 0.01215 
 2455214.320289 13.52307 0.01300 
 2455214.322351 13.50771 0.01211 
 2455214.324410 13.53184 0.01264 
 2455214.326473 13.50763 0.01241 
 2455214.328533 13.52106 0.01248 
 2455214.330592 13.50936 0.01249 
 2455214.332656 13.50662 0.01225 
 2455214.334719 13.52781 0.01262 
 2455214.336785 13.52624 0.01270 
 2455214.338843 13.50100 0.01235 
 2455214.340903 13.51000 0.01236 
 2455214.342964 13.52286 0.01222 
 2455214.345023 13.49741 0.01206 
 2455214.347091 13.51670 0.01227 
 2455214.349151 13.51743 0.01209 
 2455214.351218 13.51252 0.01260 
 2455214.353279 13.49146 0.01197 
 2455214.355343 13.52523 0.01245 
 2455214.357408 13.53954 0.01287 
 2455214.359467 13.49885 0.01134 
 2455214.361531 13.51102 0.01205 
 2455214.363592 13.52442 0.01255 
