\INPUT_FILE = /exodata/ETSS-prep/KELT/doN04/raw/KELT_N04_lc_024754_V01_east_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Fri Oct 27, 07:24:43 2006"               
\STOP_DATE = "Mon Nov 24, 08:15:02 2008"               
\fixlen = T
\NUMRECORDS = 1670     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Mar 02, 05:44:40 2016
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2454057.781642 15.34321 0.02109 
 2454057.786163 15.33406 0.02081 
 2454057.790682 15.37576 0.02039 
 2454057.795206 15.34103 0.02097 
 2454057.799731 15.36309 0.02024 
 2454057.804254 15.33322 0.02166 
 2454057.808772 15.34425 0.02066 
 2454057.813297 15.35811 0.02001 
 2454057.818668 15.35686 0.01985 
 2454057.824037 15.33911 0.01992 
 2454057.829401 15.36125 0.02005 
 2454057.834769 15.35603 0.02056 
 2454057.840137 15.33783 0.02023 
 2454057.845500 15.34604 0.02070 
 2454057.850869 15.34767 0.02071 
 2454057.852971 15.33549 0.02129 
 2454057.857494 15.35848 0.02059 
 2454057.862014 15.36605 0.02054 
 2454057.866538 15.35586 0.02037 
 2454057.871052 15.35327 0.02097 
 2454057.875573 15.33922 0.02089 
 2454057.880097 15.33259 0.02064 
 2454057.884618 15.35859 0.02055 
 2454057.889142 15.37208 0.02082 
 2454059.758771 15.34497 0.01949 
 2454059.763293 15.33635 0.01968 
 2454059.767818 15.35619 0.01932 
 2454059.772337 15.37828 0.02002 
 2454059.776860 15.35890 0.02027 
 2454059.781376 15.33984 0.01970 
 2454059.785898 15.35862 0.02021 
 2454059.790414 15.36739 0.01907 
 2454059.794938 15.37050 0.01916 
 2454059.799462 15.36167 0.01899 
 2454059.803987 15.35866 0.01982 
 2454059.808505 15.36189 0.01950 
 2454059.813875 15.34768 0.01938 
 2454059.819245 15.37043 0.01932 
 2454059.824606 15.35600 0.01981 
 2454059.829975 15.35010 0.01948 
 2454059.835345 15.32937 0.01927 
 2454059.840716 15.36528 0.01898 
 2454059.842820 15.34743 0.01891 
 2454059.847342 15.34953 0.01999 
 2454059.851868 15.33876 0.01965 
 2454059.856393 15.35394 0.01965 
 2454059.860918 15.36059 0.02019 
 2454059.865444 15.35942 0.01980 
 2454059.869970 15.34503 0.01994 
 2454059.874495 15.35645 0.01974 
 2454059.879021 15.33275 0.01975 
 2454059.883547 15.32401 0.02057 
 2454060.757309 15.36317 0.01909 
 2454060.761835 15.35674 0.01910 
 2454060.766352 15.32509 0.01872 
 2454060.770877 15.36067 0.01873 
 2454060.775403 15.33451 0.01874 
 2454060.779924 15.36898 0.01880 
 2454060.784444 15.34728 0.01884 
 2454060.788968 15.35876 0.01870 
 2454060.793493 15.34562 0.01850 
 2454060.798019 15.31923 0.01858 
 2454060.802543 15.32987 0.01862 
 2454060.807906 15.35191 0.01840 
 2454060.813275 15.35447 0.01791 
 2454060.818645 15.33247 0.01777 
 2454060.824015 15.32848 0.01862 
 2454060.829386 15.34606 0.01836 
 2454060.834756 15.34077 0.01809 
 2454060.840126 15.34974 0.01800 
 2454060.842231 15.34421 0.01822 
 2454060.846748 15.31998 0.01808 
 2454060.851272 15.34510 0.01845 
 2454060.855794 15.33327 0.01845 
 2454060.860319 15.34762 0.01827 
 2454060.864844 15.33553 0.01813 
 2454060.869363 15.33176 0.01823 
 2454060.873887 15.32805 0.01836 
 2454060.878412 15.33359 0.01877 
 2454060.882936 15.33739 0.01875 
 2454061.768735 15.53167 0.01755 
 2454061.773261 15.49480 0.01748 
 2454061.777786 15.48361 0.01780 
 2454061.782312 15.45257 0.01796 
 2454061.786838 15.43926 0.01785 
 2454061.791363 15.40984 0.01789 
 2454061.795888 15.36579 0.01826 
 2454061.800414 15.38043 0.01768 
 2454061.805785 15.37082 0.01782 
 2454061.811148 15.33810 0.01756 
 2454061.816516 15.35522 0.01726 
 2454061.821885 15.35380 0.01759 
 2454061.827255 15.35781 0.01770 
 2454061.832626 15.36691 0.01757 
 2454061.834730 15.33069 0.01798 
 2454061.839253 15.33071 0.01780 
 2454061.843770 15.32717 0.01832 
 2454061.848292 15.35623 0.01785 
 2454061.852810 15.36156 0.01796 
 2454061.857335 15.35711 0.01830 
 2454061.861861 15.35219 0.01840 
 2454061.866386 15.34578 0.01882 
 2454061.870908 15.34761 0.01859 
 2454061.875426 15.33929 0.01917 
 2454061.879951 15.33968 0.01927 
 2454066.761787 15.36001 0.01973 
 2454066.770830 15.36381 0.01912 
 2454066.775356 15.31410 0.01917 
 2454066.779881 15.34396 0.01938 
 2454066.784407 15.34310 0.01986 
 2454066.788932 15.33633 0.01979 
 2454066.794302 15.35274 0.01936 
 2454066.799674 15.34028 0.01958 
 2454066.805043 15.34881 0.01895 
 2454066.810413 15.32618 0.01894 
 2454066.815784 15.32653 0.01949 
 2454066.817888 15.33810 0.01944 
 2454066.822412 15.34166 0.01828 
 2454079.800277 15.34623 0.02782 
 2454081.696498 15.36345 0.02319 
 2454081.701012 15.35502 0.02291 
 2454081.705527 15.31237 0.02258 
 2454081.710050 15.36026 0.02254 
 2454081.714565 15.32991 0.02161 
 2454081.719079 15.32497 0.02213 
 2454081.723598 15.33359 0.02189 
