\INPUT_FILE = /stage/nexsci-exo-data-prep/ETSS-prep/KELT/s34/raw/KELT_S34_lc_014406_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Mon Jan 04, 00:00:01 2010"               
\STOP_DATE = "Fri Jun 13, 17:25:01 2014"               
\fixlen = T
\NUMRECORDS = 2963     
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Wed Oct 23, 11:03:09 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2455226.447975 12.65982 0.00983 
 2455226.450033 12.66446 0.00984 
 2455226.452091 12.65521 0.00965 
 2455226.454150 12.66203 0.00998 
 2455226.456207 12.67132 0.00975 
 2455226.458266 12.67115 0.00983 
 2455226.460324 12.65984 0.01015 
 2455226.462370 12.65023 0.00967 
 2455226.464430 12.65470 0.00964 
 2455226.466519 12.65588 0.00971 
 2455226.468587 12.66947 0.01016 
 2455226.480971 12.66778 0.00979 
 2455226.483030 12.66098 0.00942 
 2455226.485096 12.67795 0.00997 
 2455226.487153 12.66824 0.01011 
 2455226.489213 12.65751 0.00996 
 2455226.491270 12.66341 0.01002 
 2455226.511860 12.66151 0.00999 
 2455226.513919 12.67212 0.01007 
 2455226.515971 12.66242 0.00971 
 2455226.518032 12.66580 0.01008 
 2455226.520091 12.66561 0.00994 
 2455226.522150 12.65758 0.00986 
 2455226.524210 12.65993 0.01008 
 2455226.526276 12.67638 0.00992 
 2455226.528333 12.66676 0.00976 
 2455226.530392 12.65008 0.00981 
 2455226.532451 12.66475 0.00974 
 2455226.534511 12.67425 0.00985 
 2455226.536564 12.67863 0.00954 
 2455226.538622 12.67290 0.00995 
 2455226.540678 12.66873 0.00993 
 2455226.542735 12.66520 0.00990 
 2455226.544796 12.66766 0.00990 
 2455226.546858 12.66030 0.00971 
 2455226.548921 12.65833 0.00976 
 2455226.550982 12.67624 0.01000 
 2455226.553040 12.66727 0.00985 
 2455226.555098 12.65725 0.01019 
 2455226.557157 12.66916 0.00990 
