\INPUT_FILE = /exodata/ETSS-prep/KELT/s30/raw/KELT_S30_lc_029782_V01_west_tfa.dat
\INPUT_TYPE = "RAW"
\START_DATE = "Tue Sep 06, 03:07:23 2011"               
\STOP_DATE = "Wed Mar 04, 18:44:36 2015"               
\fixlen = T
\NUMRECORDS = 415      
\
\ This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu 
\ Mon Oct 21, 16:39:28 2019
\ Documentation for the KELT Survey dataset can be found at http://exoplanetarchive.ipac.caltech.edu/docs/KELT.html
\
|          TIME|     MAG|MAG_ERR|
|          real|    real|   real|
|             d|     mag|    mag|
|          null|    null|   null|
 2456670.385014 15.27469 0.10147 
 2456671.380539 15.39379 0.10421 
 2456672.317789 15.32448 0.10869 
 2456672.384191 15.30533 0.12065 
 2456673.319996 15.36096 0.11952 
 2456673.379564 15.34702 0.12304 
 2456674.318926 15.32571 0.10243 
 2456674.378376 15.29116 0.11291 
 2456676.388328 15.32869 0.09315 
 2456677.322703 15.36624 0.06517 
 2456677.378276 15.36564 0.08490 
 2456678.321214 15.41147 0.04494 
 2456678.390542 15.23522 0.07364 
 2456679.329650 15.34524 0.05090 
 2456679.384902 15.31934 0.07144 
 2456681.317850 15.37803 0.05461 
 2456681.383079 15.36548 0.05474 
 2456682.373307 15.39141 0.04786 
 2456683.318328 15.31187 0.05995 
 2456683.379928 15.34290 0.06142 
 2456684.322186 15.23745 0.04715 
 2456685.320568 15.22013 0.05223 
 2456688.322474 15.34385 0.05202 
 2456690.325713 15.36147 0.05828 
 2456691.337148 15.35065 0.05462 
 2456693.332484 15.40715 0.05368 
 2456694.329001 15.34010 0.06689 
 2456695.314749 15.23540 0.06713 
 2456696.315275 15.32181 0.07762 
 2456697.304866 15.38521 0.07579 
 2456698.300298 15.38619 0.08538 
 2456699.301619 15.37069 0.08729 
 2456700.297335 15.29849 0.09263 
 2456704.302053 15.42810 0.11535 
 2456710.309275 15.33925 0.05114 
 2456711.303574 15.44071 0.05520 
 2456712.306579 15.28552 0.05289 
 2456893.657147 15.33035 0.06619 
 2456894.655241 15.28616 0.05886 
 2456900.650732 15.30014 0.05165 
 2456901.634353 15.27927 0.05998 
 2456902.630748 15.38241 0.04880 
 2456903.629793 15.35753 0.05172 
 2456904.625091 15.34401 0.05031 
 2456905.622594 15.27650 0.05337 
 2456906.622290 15.44802 0.04409 
 2456907.618055 15.34138 0.07831 
 2456909.614151 15.20466 0.14568 
 2456911.609312 15.38890 0.13854 
 2456915.595456 15.35714 0.09398 
 2456921.589039 15.26081 0.05897 
 2456922.634005 15.26532 0.05549 
 2456923.576404 15.41273 0.05378 
 2456923.606749 15.43929 0.05486 
 2456925.571323 15.36907 0.06266 
 2456925.636433 15.26326 0.06181 
 2456926.568139 15.36115 0.05505 
 2456926.633096 15.43492 0.05204 
 2456933.546453 15.26377 0.04691 
 2456934.544114 15.25986 0.06586 
 2456935.541412 15.32407 0.08030 
 2456936.539368 15.38347 0.10559 
 2456936.597141 15.26036 0.08086 
 2456937.537451 15.27097 0.13680 
 2456937.585635 15.35695 0.12382 
 2456944.517032 15.32505 0.08026 
 2456944.575518 15.27234 0.07319 
 2456945.516605 15.31328 0.06691 
 2456945.589263 15.38909 0.05736 
 2456948.509120 15.20378 0.05705 
 2456948.586597 15.38425 0.05110 
 2456949.504701 15.21901 0.05849 
 2456949.594380 15.37167 0.05419 
 2456950.500820 15.25065 0.05957 
 2456950.588840 15.16415 0.05339 
 2456951.498753 15.52767 0.05579 
 2456951.551506 15.51386 0.05929 
 2456953.585238 15.33806 0.05788 
 2456954.488566 15.43256 0.06728 
